"nr","year","school","exper","union","ethn","married","health","wage","industry","occupation","residence"
13,1980,14,1,"no","other","no","no",1.1975402046,"Business_and_Repair_Service","Service_Workers","north_east"
13,1981,14,2,"yes","other","no","no",1.8530599951,"Personal_Service","Service_Workers","north_east"
13,1982,14,3,"no","other","no","no",1.3444616775,"Business_and_Repair_Service","Service_Workers","north_east"
13,1983,14,4,"no","other","no","no",1.4332133359,"Business_and_Repair_Service","Service_Workers","north_east"
13,1984,14,5,"no","other","no","no",1.5681250801,"Personal_Service","Craftsmen, Foremen_and_kindred","north_east"
13,1985,14,6,"no","other","no","no",1.6998909418,"Business_and_Repair_Service","Managers, Officials_and_Proprietors","north_east"
13,1986,14,7,"no","other","no","no",-0.720262576,"Business_and_Repair_Service","Managers, Officials_and_Proprietors","north_east"
13,1987,14,8,"no","other","no","no",1.6691879168,"Business_and_Repair_Service","Managers, Officials_and_Proprietors","north_east"
17,1980,13,4,"no","other","no","no",1.6759624043,"Trade","Managers, Officials_and_Proprietors","north_east"
17,1981,13,5,"no","other","no","no",1.5183982018,"Trade","Managers, Officials_and_Proprietors","north_east"
17,1982,13,6,"no","other","no","no",1.5591904773,"Trade","Managers, Officials_and_Proprietors","north_east"
17,1983,13,7,"no","other","no","no",1.7254100887,"Trade","Managers, Officials_and_Proprietors","north_east"
17,1984,13,8,"no","other","no","no",1.6220223205,"Trade","Managers, Officials_and_Proprietors","north_east"
17,1985,13,9,"no","other","no","no",1.6085882735,"Construction","Laborers_and_farmers","north_east"
17,1986,13,10,"no","other","no","no",1.5723854135,"Construction","Laborers_and_farmers","north_east"
17,1987,13,11,"no","other","no","no",1.8203338562,"Construction","Craftsmen, Foremen_and_kindred","north_east"
18,1980,12,4,"no","other","yes","no",1.5159627486,"Trade","Clerical_and_kindred",NA
18,1981,12,5,"no","other","yes","no",1.7353791358,"Trade","Clerical_and_kindred",NA
18,1982,12,6,"no","other","yes","no",1.6317436699,"Manufacturing","Managers, Officials_and_Proprietors",NA
18,1983,12,7,"no","other","yes","no",1.9982288111,"Trade","Sales_Workers",NA
18,1984,12,8,"no","other","yes","no",2.1840142196,"Trade","Sales_Workers",NA
18,1985,12,9,"no","other","yes","no",2.2666622392,"Trade","Sales_Workers",NA
18,1986,12,10,"no","other","yes","no",2.06994393,"Trade","Sales_Workers",NA
18,1987,12,11,"no","other","yes","no",2.8731607212,"Trade","Sales_Workers",NA
45,1980,12,2,"yes","other","no","no",1.8941149806,"Transportation","Laborers_and_farmers","north_east"
45,1981,12,3,"yes","other","no","no",1.4711592831,"Transportation","Operatives_and_kindred","north_east"
45,1982,12,4,"no","other","no","no",1.473497492,"Manufacturing","Operatives_and_kindred","north_east"
45,1983,12,5,"no","other","no","no",1.7409142752,"Manufacturing","Operatives_and_kindred","north_east"
45,1984,12,6,"no","other","no","no",1.8232137137,"Business_and_Repair_Service","Operatives_and_kindred","north_east"
45,1985,12,7,"no","other","no","no",1.9082728567,"Manufacturing","Operatives_and_kindred","north_east"
45,1986,12,8,"no","other","no","no",1.7424473634,"Transportation","Clerical_and_kindred","north_east"
45,1987,12,9,"no","other","yes","no",2.1356889155,"Construction","Clerical_and_kindred","north_east"
110,1980,12,5,"yes","other","no","no",1.9487748545,"Professional_and_Related Service","Clerical_and_kindred","north_east"
110,1981,12,6,"no","other","no","no",1.9622592871,"Professional_and_Related Service","Clerical_and_kindred","north_east"
110,1982,12,7,"no","other","no","no",1.9632968251,"Professional_and_Related Service","Managers, Officials_and_Proprietors","north_east"
110,1983,12,8,"no","other","no","no",2.2025156325,"Professional_and_Related Service","Managers, Officials_and_Proprietors","north_east"
110,1984,12,9,"no","other","yes","no",2.1349542516,"Trade","Professional, Technical_and_kindred","north_east"
110,1985,12,10,"no","other","yes","no",2.1258228201,"Business_and_Repair_Service","Professional, Technical_and_kindred","north_east"
110,1986,12,11,"no","other","yes","no",1.9910166714,"Finance","Clerical_and_kindred","north_east"
110,1987,12,12,"no","other","yes","no",2.1123933529,"Finance","Clerical_and_kindred","north_east"
120,1980,10,2,"no","other","no","no",0.2585548628,"Trade","Service_Workers","north_east"
120,1981,10,3,"no","other","no","no",1.3199717182,"Trade","Service_Workers","north_east"
120,1982,10,4,"no","other","no","no",1.4620852871,"Trade","Service_Workers","north_east"
120,1983,10,5,"no","other","no","no",1.3202869194,"Trade","Service_Workers","north_east"
120,1984,10,6,"no","other","no","no",1.7036465563,"Entertainment","Service_Workers","north_east"
120,1985,10,7,"no","other","no","no",1.4458032056,"Trade","Service_Workers","north_east"
120,1986,10,8,"no","other","no","no",1.8063640995,"Finance","Clerical_and_kindred","north_east"
120,1987,10,9,"no","other","no","no",2.1481201768,"Business_and_Repair_Service","Clerical_and_kindred","north_east"
126,1980,13,2,"no","other","no","no",1.7372854886,"Trade","Sales_Workers","north_east"
126,1981,13,3,"no","other","no","no",1.9896008377,"Trade","Managers, Officials_and_Proprietors","north_east"
126,1982,13,4,"no","other","no","no",2.189916837,"Trade","Managers, Officials_and_Proprietors","north_east"
126,1983,13,5,"no","other","no","no",1.8554632169,"Trade","Sales_Workers","north_east"
126,1984,13,6,"no","other","no","no",1.9224377929,"Trade","Sales_Workers","north_east"
126,1985,13,7,"no","other","yes","no",2.0610239562,"Trade","Sales_Workers","north_east"
126,1986,13,8,"no","other","yes","no",1.7822016235,"Trade","Sales_Workers","north_east"
126,1987,13,9,"no","other","yes","no",2.4146815778,"Trade","Managers, Officials_and_Proprietors","north_east"
150,1980,12,2,"no","other","no","no",1.2087353007,"Business_and_Repair_Service","Operatives_and_kindred","north_east"
150,1981,12,3,"no","other","no","no",1.1940396628,"Business_and_Repair_Service","Operatives_and_kindred","north_east"
150,1982,12,4,"no","other","no","no",1.1704405715,"Business_and_Repair_Service","Operatives_and_kindred","north_east"
150,1983,12,5,"no","other","no","no",1.0979644985,"Business_and_Repair_Service","Operatives_and_kindred","north_east"
150,1984,12,6,"no","other","no","no",0.7658161885,"Business_and_Repair_Service","Service_Workers","north_east"
150,1985,12,7,"no","other","no","no",1.119025979,"Business_and_Repair_Service","Service_Workers","north_east"
150,1986,12,8,"no","other","no","no",1.1193667201,"Business_and_Repair_Service","Operatives_and_kindred","north_east"
150,1987,12,9,"yes","other","no","no",0.8314595075,"Business_and_Repair_Service","Service_Workers","north_east"
162,1980,11,2,"yes","other","no","no",0.502470152,"Trade","Clerical_and_kindred","north_east"
162,1981,11,3,"no","other","no","no",1.0649123702,"Professional_and_Related Service","Clerical_and_kindred","north_east"
162,1982,11,4,"no","other","no","no",1.1894979432,"Manufacturing","Sales_Workers","north_east"
162,1983,11,5,"no","other","no","no",1.5398885292,"Trade","Laborers_and_farmers","north_east"
162,1984,11,6,"no","other","no","no",1.5982860406,"Professional_and_Related Service","Managers, Officials_and_Proprietors","north_east"
162,1985,11,7,"no","other","no","no",1.7373206923,"Trade","Managers, Officials_and_Proprietors","north_east"
162,1986,11,8,"no","other","no","no",1.9884558505,"Trade","Managers, Officials_and_Proprietors","north_east"
162,1987,11,9,"no","other","no","no",2.1586784338,"Professional_and_Related Service","Managers, Officials_and_Proprietors","south"
166,1980,10,2,"yes","other","no","no",1.0052940055,"Trade","Laborers_and_farmers","north_east"
166,1981,10,3,"yes","other","no","no",0.9376873709,"Trade","Laborers_and_farmers","north_east"
166,1982,10,4,"yes","other","no","no",1.3674877048,"Trade","Laborers_and_farmers","north_east"
166,1983,10,5,"yes","other","no","no",1.3780087815,"Trade","Clerical_and_kindred","north_east"
166,1984,10,6,"yes","other","no","no",1.1701834812,"Trade","Clerical_and_kindred","north_east"
166,1985,10,7,"no","other","no","no",1.7282214484,"Trade","Craftsmen, Foremen_and_kindred","north_east"
166,1986,10,8,"no","other","yes","no",1.7098647498,"Trade","Managers, Officials_and_Proprietors","north_east"
166,1987,10,9,"no","other","yes","no",1.8510747855,"Trade","Craftsmen, Foremen_and_kindred","nothern_central"
189,1980,14,2,"no","other","no","no",1.1305453358,"Trade","Clerical_and_kindred","north_east"
189,1981,14,3,"no","other","no","no",0.8362480242,"Trade","Clerical_and_kindred","north_east"
189,1982,14,4,"no","other","no","no",1.4673598138,"Trade","Clerical_and_kindred","north_east"
189,1983,14,5,"no","other","no","no",1.0714836213,"Trade","Sales_Workers","north_east"
189,1984,14,6,"no","other","no","no",1.4459194826,"Trade","Clerical_and_kindred","north_east"
189,1985,14,7,"no","other","no","no",1.6851163479,"Trade","Sales_Workers","north_east"
189,1986,14,8,"no","other","no","no",1.6861749787,"Manufacturing","Clerical_and_kindred","north_east"
189,1987,14,9,"no","other","no","no",1.7551303466,"Manufacturing","Clerical_and_kindred","north_east"
193,1980,14,2,"no","other","no","no",1.5656918952,"Manufacturing","Professional, Technical_and_kindred","north_east"
193,1981,14,3,"no","other","no","no",2.4938753198,"Manufacturing","Professional, Technical_and_kindred","north_east"
193,1982,14,4,"no","other","no","no",1.822662074,"Manufacturing","Professional, Technical_and_kindred","north_east"
193,1983,14,5,"no","other","no","no",2.3803360564,"Manufacturing","Professional, Technical_and_kindred","north_east"
193,1984,14,6,"no","other","no","no",2.2171284955,"Manufacturing","Professional, Technical_and_kindred","north_east"
193,1985,14,7,"no","other","yes","no",2.2720314362,"Manufacturing","Professional, Technical_and_kindred","north_east"
193,1986,14,8,"no","other","yes","no",2.3537987319,"Manufacturing","Professional, Technical_and_kindred","north_east"
193,1987,14,9,"no","other","yes","no",2.4294500341,"Manufacturing","Professional, Technical_and_kindred","north_east"
209,1980,11,3,"no","other","no","no",1.9180031958,"Trade","Service_Workers","north_east"
