"exp","wks","bluecol","ind","south","smsa","married","sex","union","ed","black","lwage","id","time"
3,32,"no",0,"yes","no","yes","male","no",9,"no",5.56068,"1","1"
4,43,"no",0,"yes","no","yes","male","no",9,"no",5.72031,"1","2"
5,40,"no",0,"yes","no","yes","male","no",9,"no",5.99645,"1","3"
6,39,"no",0,"yes","no","yes","male","no",9,"no",5.99645,"1","4"
7,42,"no",1,"yes","no","yes","male","no",9,"no",6.06146,"1","5"
8,35,"no",1,"yes","no","yes","male","no",9,"no",6.17379,"1","6"
9,32,"no",1,"yes","no","yes","male","no",9,"no",6.24417,"1","7"
30,34,"yes",0,"no","no","yes","male","no",11,"no",6.16331,"2","1"
31,27,"yes",0,"no","no","yes","male","no",11,"no",6.21461,"2","2"
32,33,"yes",1,"no","no","yes","male","yes",11,"no",6.2634,"2","3"
33,30,"yes",1,"no","no","yes","male","no",11,"no",6.54391,"2","4"
34,30,"yes",1,"no","no","yes","male","no",11,"no",6.69703,"2","5"
35,37,"yes",1,"no","no","yes","male","no",11,"no",6.79122,"2","6"
36,30,"yes",1,"no","no","yes","male","no",11,"no",6.81564,"2","7"
6,50,"yes",1,"no","no","yes","male","yes",12,"no",5.65249,"3","1"
7,51,"yes",1,"no","no","yes","male","yes",12,"no",6.43615,"3","2"
8,50,"yes",1,"no","no","yes","male","yes",12,"no",6.54822,"3","3"
9,52,"yes",1,"no","no","yes","male","yes",12,"no",6.60259,"3","4"
10,52,"yes",1,"no","no","yes","male","yes",12,"no",6.6958,"3","5"
11,52,"yes",1,"no","no","no","male","yes",12,"no",6.77878,"3","6"
12,46,"yes",1,"no","no","no","male","yes",12,"no",6.86066,"3","7"
31,52,"yes",0,"no","yes","no","female","no",10,"yes",6.15698,"4","1"
32,46,"yes",0,"no","yes","no","female","no",10,"yes",6.23832,"4","2"
33,46,"yes",0,"no","yes","no","female","no",10,"yes",6.30079,"4","3"
34,49,"yes",0,"no","yes","no","female","no",10,"yes",6.35957,"4","4"
35,44,"yes",0,"no","yes","no","female","no",10,"yes",6.46925,"4","5"
36,52,"yes",0,"no","yes","no","female","no",10,"yes",6.56244,"4","6"
37,46,"yes",0,"no","yes","no","female","no",10,"yes",6.62141,"4","7"
10,50,"yes",0,"no","no","yes","male","yes",16,"no",6.43775,"5","1"
11,46,"yes",0,"no","no","yes","male","yes",16,"no",6.62007,"5","2"
12,40,"yes",0,"no","no","yes","male","yes",16,"no",6.63332,"5","3"
13,50,"no",0,"no","no","yes","male","no",16,"no",6.98286,"5","4"
14,47,"yes",0,"no","yes","yes","male","no",16,"no",7.04752,"5","5"
15,47,"no",0,"no","no","yes","male","no",16,"no",7.31322,"5","6"
16,49,"no",0,"no","no","yes","male","no",16,"no",7.29574,"5","7"
26,44,"yes",1,"no","yes","yes","male","no",12,"no",6.90575,"6","1"
27,47,"yes",1,"no","yes","yes","male","no",12,"no",6.90575,"6","2"
28,47,"yes",1,"no","yes","yes","male","no",12,"no",6.90776,"6","3"
29,47,"yes",1,"no","yes","yes","male","no",12,"no",7.00307,"6","4"
30,44,"yes",1,"no","yes","yes","male","no",12,"no",7.06902,"6","5"
31,45,"yes",1,"no","yes","yes","male","no",12,"no",7.52023,"6","6"
32,47,"yes",1,"no","yes","yes","male","no",12,"no",7.33889,"6","7"
15,46,"yes",0,"no","no","yes","male","yes",12,"no",6.1334,"7","1"
16,48,"yes",0,"no","no","yes","male","yes",12,"no",6.17379,"7","2"
17,49,"yes",0,"no","no","yes","male","yes",12,"no",6.21261,"7","3"
18,46,"yes",0,"no","no","yes","male","yes",12,"no",6.31355,"7","4"
19,47,"yes",0,"no","no","yes","male","yes",12,"no",6.37502,"7","5"
20,47,"yes",0,"no","no","yes","male","yes",12,"no",6.44572,"7","6"
21,48,"yes",0,"no","no","yes","male","yes",12,"no",6.52209,"7","7"
23,51,"yes",1,"yes","no","yes","male","yes",10,"no",6.3315,"8","1"
24,50,"yes",1,"yes","no","yes","male","yes",10,"no",6.40357,"8","2"
25,50,"yes",1,"yes","no","yes","male","yes",10,"no",6.54391,"8","3"
26,50,"yes",1,"yes","no","yes","male","yes",10,"no",6.56244,"8","4"
27,44,"yes",1,"no","yes","yes","male","yes",10,"no",6.59167,"8","5"
28,51,"yes",1,"no","yes","yes","male","yes",10,"no",6.81783,"8","6"
29,51,"yes",1,"no","yes","yes","male","yes",10,"no",6.89163,"8","7"
3,50,"no",0,"yes","yes","yes","male","no",16,"no",6.55108,"9","1"
4,48,"no",0,"yes","yes","yes","male","no",16,"no",6.55108,"9","2"
5,50,"no",0,"yes","yes","yes","male","no",16,"no",6.80239,"9","3"
6,48,"no",0,"yes","yes","yes","male","no",16,"no",6.90776,"9","4"
7,48,"no",0,"yes","yes","yes","male","no",16,"no",7.09008,"9","5"
8,44,"no",0,"yes","yes","yes","male","no",16,"no",7.17012,"9","6"
9,48,"no",0,"yes","yes","yes","male","no",16,"no",7.20786,"9","7"
3,49,"no",0,"yes","yes","yes","male","no",16,"no",6.39693,"10","1"
4,47,"no",0,"yes","yes","yes","male","no",16,"no",6.43775,"10","2"
5,46,"no",0,"yes","yes","yes","male","no",16,"no",6.43775,"10","3"
6,44,"no",0,"yes","yes","yes","male","no",16,"no",6.43775,"10","4"
7,43,"no",0,"yes","yes","yes","male","no",16,"no",6.52209,"10","5"
8,34,"no",0,"yes","yes","yes","male","no",16,"no",6.61338,"10","6"
9,40,"no",0,"yes","yes","yes","male","no",16,"no",6.73934,"10","7"
24,47,"yes",0,"no","yes","no","male","yes",12,"no",6.65801,"11","1"
25,48,"yes",0,"no","yes","no","male","yes",12,"no",6.72623,"11","2"
26,45,"yes",0,"no","yes","no","male","yes",12,"no",6.80239,"11","3"
27,45,"yes",0,"no","yes","yes","male","yes",12,"no",6.90776,"11","4"
28,47,"yes",0,"no","yes","yes","male","yes",12,"no",7.03966,"11","5"
29,17,"yes",0,"no","yes","yes","male","yes",12,"no",7.12769,"11","6"
30,47,"yes",0,"no","yes","yes","male","yes",12,"no",7.24423,"11","7"
21,47,"yes",0,"yes","yes","yes","male","yes",12,"no",6.55108,"12","1"
22,46,"yes",0,"yes","yes","yes","male","yes",12,"no",6.62936,"12","2"
23,47,"yes",0,"yes","yes","yes","male","yes",12,"no",6.72263,"12","3"
24,47,"yes",0,"yes","yes","yes","male","yes",12,"no",6.7334,"12","4"
25,47,"yes",0,"yes","yes","yes","male","yes",12,"no",6.72263,"12","5"
26,47,"yes",0,"yes","yes","yes","male","yes",12,"no",6.95177,"12","6"
27,46,"yes",0,"yes","yes","yes","male","yes",12,"no",7.05272,"12","7"
26,48,"yes",0,"yes","yes","yes","male","no",12,"no",6.90575,"13","1"
27,48,"yes",0,"yes","yes","yes","male","no",12,"no",6.90073,"13","2"
28,50,"yes",0,"yes","yes","yes","male","no",12,"no",7.17012,"13","3"
29,48,"yes",0,"yes","yes","yes","male","no",12,"no",7.26543,"13","4"
30,48,"yes",0,"yes","yes","yes","male","no",12,"no",7.25912,"13","5"
31,46,"no",0,"yes","yes","yes","male","no",12,"no",7.25488,"13","6"
32,46,"yes",0,"yes","yes","yes","male","no",12,"no",7.40001,"13","7"
15,45,"no",0,"yes","yes","yes","male","no",17,"no",6.80239,"14","1"
16,45,"no",0,"yes","yes","yes","male","no",17,"no",6.80239,"14","2"
17,45,"no",0,"yes","yes","yes","male","no",17,"no",6.9256,"14","3"
18,44,"no",0,"yes","yes","yes","male","no",17,"no",7.00307,"14","4"
19,44,"no",0,"yes","yes","yes","male","no",17,"no",7.1309,"14","5"
20,44,"no",0,"yes","yes","yes","male","no",17,"no",7.12448,"14","6"
21,44,"no",0,"yes","yes","yes","male","no",17,"no",7.12287,"14","7"
9,50,"no",0,"no","no","no","female","no",14,"no",5.94017,"15","1"
10,46,"no",0,"no","no","no","female","no",14,"no",5.86079,"15","2"
11,48,"no",0,"no","no","no","female","no",14,"no",5.99894,"15","3"
12,46,"no",0,"no","no","no","female","no",14,"no",6.0845,"15","4"
13,48,"no",0,"no","no","no","female","no",14,"no",6.39526,"15","5"
