"year","violent","murder","robbery","prisoners","afam","cauc","male","population","income","density","state","law"
"1977",414.4,14.2,96.8,83,8.384873,55.12291,18.17441,3.780403,9563.148,0.0745524,"Alabama","no"
"1978",419.1,13.3,99.1,94,8.352101,55.14367,17.99408,3.831838,9932,0.0755667,"Alabama","no"
"1979",413.3,13.2,109.5,144,8.329575,55.13586,17.83934,3.866248,9877.028,0.0762453,"Alabama","no"
"1980",448.5,13.2,132.1,141,8.408386,54.91259,17.7342,3.900368,9541.428,0.0768288,"Alabama","no"
"1981",470.5,11.9,126.5,149,8.483435,54.92513,17.67372,3.918531,9548.351,0.0771866,"Alabama","no"
"1982",447.7,10.6,112,183,8.514,54.89621,17.51052,3.925229,9478.919,0.0773185,"Alabama","no"
"1983",416,9.2,98.4,215,8.545608,54.83936,17.35089,3.934103,9783,0.0774933,"Alabama","no"
"1984",431.2,9.4,96.1,243,8.559511,54.77876,17.11902,3.951826,10357.2,0.0778424,"Alabama","no"
"1985",457.5,9.8,105.4,256,8.562801,54.67899,16.85875,3.97252,10725.86,0.07825,"Alabama","no"
"1986",558,10.1,111.6,267,8.566521,54.51791,16.57609,3.991562,11091.62,0.0786251,"Alabama","no"
"1987",559.2,9.3,112.2,283,8.592103,54.3877,16.2823,4.015257,11323.82,0.0790919,"Alabama","no"
"1988",558.6,9.9,117.8,307,8.618144,54.23505,15.9927,4.023848,11654.96,0.0792611,"Alabama","no"
"1989",590.8,10.2,133.9,300,8.638031,54.06622,15.67523,4.030224,11963.9,0.0793867,"Alabama","no"
"1990",708.6,11.6,143.7,328,8.699674,56.07016,15.3807,4.048508,12063.98,0.0797736,"Alabama","no"
"1991",844.2,11.5,152.8,370,8.771641,55.97353,15.18314,4.091025,12087.82,0.0806113,"Alabama","no"
"1992",871.7,11,164.9,394,8.877969,55.80952,15.02558,4.139269,12398.02,0.081562,"Alabama","no"
"1993",780.4,11.6,159.5,407,8.972758,55.66076,14.86296,4.193114,12395.8,0.0826229,"Alabama","no"
"1994",683.7,11.9,171.2,431,9.047583,55.50783,14.67744,4.232965,12673.92,0.0834082,"Alabama","no"
"1995",632.4,11.2,185.8,450,9.094921,55.33187,14.54549,4.262731,12872.68,0.0839947,"Alabama","no"
"1996",565.4,10,167,471,9.14942,55.3142,14.41802,4.290403,12908.91,0.08454,"Alabama","no"
"1997",564.5,9.9,160.5,492,9.206091,55.15972,14.30733,4.320281,13121.11,0.0851287,"Alabama","no"
"1998",512.1,8.1,130.9,500,9.257586,55.25745,14.16984,4.351037,13514.1,0.0857347,"Alabama","no"
"1999",490.2,7.9,121.2,519,9.331416,55.29781,14.0052,4.369862,13737.26,0.0861057,"Alabama","no"
"1977",443.2,10.8,96.8,63,7.835672,62.1413,22.35269,0.403437,20296.83,0.0007083,"Alaska","no"
"1978",441.9,12.9,91.3,75,7.945618,62.65009,22.05606,0.404764,19044.99,0.0007106,"Alaska","no"
"1979",491.1,13.3,109.6,127,8.057296,63.09599,21.97401,0.402753,18115.89,0.0007071,"Alaska","no"
"1980",436,8.9,81.8,133,8.123558,62.7206,21.55065,0.405315,17901.66,0.00071,"Alaska","no"
"1981",615.8,14.6,114.6,143,8.153878,62.80371,21.01661,0.418488,18075.23,0.0007331,"Alaska","no"
"1982",623.7,18.5,133.8,170,8.149489,62.89593,20.32379,0.449611,18967.13,0.0007876,"Alaska","no"
"1983",613.8,13.8,97.1,194,8.114173,62.86964,19.54211,0.488417,19045,0.0008556,"Alaska","no"
"1984",621.6,11.6,109.4,219,8.094755,62.41428,18.85155,0.513703,18590.22,0.0008999,"Alaska","no"
"1985",581.8,9.8,92.9,252,8.05383,61.88262,18.22919,0.532492,18705.2,0.0009328,"Alaska","no"
"1986",570.4,8.6,88,288,8.0824,61.2697,17.81123,0.544269,17906.39,0.0009535,"Alaska","no"
"1987",455.4,10.1,73.1,306,8.185459,60.43927,17.49717,0.53931,16955.92,0.0009448,"Alaska","no"
"1988",522.8,5.7,72.9,339,8.39216,60.09351,17.20629,0.541982,16740.64,0.0009495,"Alaska","no"
"1989",497.7,8,67.6,355,8.556108,59.82404,17.13378,0.547153,17285.38,0.0009585,"Alaska","no"
"1990",524.5,7.5,76.7,361,8.630677,60.08334,16.99975,0.55312,17311.88,0.0009697,"Alaska","no"
"1991",613.9,7.4,113.2,348,8.526665,60.35909,16.56165,0.569273,17005.98,0.0009981,"Alaska","no"
"1992",660.5,7.5,109,345,8.534543,60.75548,16.34584,0.587073,16978.23,0.0010293,"Alaska","no"
"1993",760.8,9,122.4,327,8.630754,60.76018,16.19282,0.596993,17067.91,0.0010467,"Alaska","no"
"1994",766.3,6.3,146.2,446,8.593396,60.87202,15.97539,0.600624,16970.02,0.001053,"Alaska","no"
"1995",770.9,9.1,155.1,317,8.624999,61.20048,15.75818,0.601345,16871.89,0.0010543,"Alaska","yes"
"1996",727.7,7.4,117,338,8.75226,61.23177,15.8195,0.604918,16546.19,0.0010606,"Alaska","yes"
"1997",701.1,8.9,106.4,383,8.834417,61.00919,15.98483,0.608846,16816.68,0.0010675,"Alaska","yes"
"1998",653.9,6.7,86.6,420,8.933932,60.74545,16.30562,0.615205,17077.45,0.0010786,"Alaska","yes"
"1999",631.5,8.6,91.4,413,8.986603,60.55464,16.6318,0.6195,17120.14,0.0010861,"Alaska","yes"
"1977",494.2,9.5,138.2,125,3.436422,66.61958,18.72813,2.425197,10919.45,0.021383,"Arizona","no"
"1978",552.1,9.4,162.9,129,3.457416,66.48782,18.48919,2.515318,11591.41,0.0221776,"Arizona","no"
"1979",593,8.9,175.7,146,3.473442,66.49958,18.28485,2.63557,11804.69,0.0232379,"Arizona","no"
"1980",650.9,10.3,193.6,139,3.592809,66.15736,18.0928,2.737774,11594.31,0.0241197,"Arizona","no"
"1981",575.8,8.1,177.6,160,3.557633,66.35718,17.99499,2.810127,11681.17,0.0247571,"Arizona","no"
"1982",517,8.3,158.6,184,3.588126,66.18365,17.79727,2.889865,11295.24,0.0254596,"Arizona","no"
"1983",494.2,7.2,132.4,209,3.622587,65.86687,17.58133,2.968928,11654,0.0261561,"Arizona","no"
"1984",516.1,7.8,131.1,223,3.644696,65.58672,17.30715,3.067142,12356.72,0.0270214,"Arizona","no"
"1985",602.5,8,146.5,247,3.673841,65.33994,17.0261,3.183535,12786.21,0.0280468,"Arizona","no"
"1986",658.3,9.3,169.2,256,3.72806,65.11162,16.73828,3.308262,13146.87,0.0291456,"Arizona","no"
"1987",612.6,7.5,138.4,268,3.784642,64.77774,16.45066,3.437102,13269.01,0.0302807,"Arizona","no"
"1988",610.1,8.5,137,307,3.844388,64.44434,16.15664,3.535179,13299.39,0.0311448,"Arizona","no"
"1989",599.6,6.7,139,328,3.903289,63.91225,15.89517,3.622176,13304.1,0.0319112,"Arizona","no"
"1990",652.4,7.7,160.9,350,3.964251,64.84599,15.65157,3.679056,13114.78,0.0323741,"Arizona","no"
"1991",670.7,7.8,165.7,375,4.026213,64.48261,15.32617,3.762394,12838.55,0.0331074,"Arizona","no"
"1992",670.8,8.1,153.1,396,4.067532,64.29301,15.06402,3.867333,12873.01,0.0340308,"Arizona","no"
"1993",715,8.6,162.9,409,4.107062,64.02615,14.84015,3.99339,12922.88,0.0351401,"Arizona","no"
"1994",703.1,10.5,162,430,4.16112,64.19139,14.63248,4.147561,13288.13,0.0364967,"Arizona","no"
"1995",713.5,10.4,173.8,459,4.210515,64.04899,14.52453,4.306908,13494.64,0.0378989,"Arizona","yes"
"1996",631.5,8.5,167.8,473,4.258865,63.88958,14.44164,4.432308,13722.99,0.0390024,"Arizona","yes"
"1997",623.7,8.2,165.7,479,4.313578,64.03395,14.37867,4.552207,14146.38,0.0400574,"Arizona","yes"
"1998",577.9,8.1,165.2,484,4.317078,63.87193,14.36154,4.667277,14745.26,0.04107,"Arizona","yes"
"1999",551.2,8,152.5,507,4.343524,63.80436,14.36654,4.778332,15053.45,0.0420472,"Arizona","yes"
"1977",322.9,8.8,83.2,115,5.325915,59.49733,17.29585,2.20901,9321.481,0.0425259,"Arkansas","no"
"1978",344.1,9.1,80,111,5.294712,59.49071,17.09856,2.243125,9945.752,0.0431827,"Arkansas","no"
"1979",366.2,9.1,74.6,115,5.256688,59.47256,16.902,2.271335,9724.736,0.0437258,"Arkansas","no"
"1980",335.2,9.2,80.9,132,5.301,59.40872,16.77785,2.288738,9171.474,0.0439483,"Arkansas","no"
"1981",310.3,9.1,77.4,128,5.363085,59.39111,16.70277,2.293195,9386.144,0.0440339,"Arkansas","no"
"1982",324.7,8.2,78.8,143,5.396681,59.34017,16.57396,2.294262,9238.463,0.0440543,"Arkansas","no"
"1983",297.7,7.6,69.3,166,5.412156,59.31244,16.41476,2.305754,9476,0.044275,"Arkansas","no"
"1984",321.4,7.5,67.6,179,5.429969,59.3006,16.23451,2.319774,10127.04,0.0445442,"Arkansas","no"
"1985",347.6,7.9,68.5,188,5.448844,59.18848,16.04804,2.327044,10430.46,0.0446838,"Arkansas","no"
"1986",394.8,8.1,79.7,195,5.453926,59.12255,15.81027,2.33199,10666.21,0.0447788,"Arkansas","no"
"1987",412,7.6,79.1,198,5.468931,59.08031,15.59308,2.342359,10685.37,0.0449779,"Arkansas","no"
"1988",422.7,8.7,84.1,227,5.485952,58.94504,15.35794,2.342638,10959.47,0.0449833,"Arkansas","no"
"1989",473.7,8.4,110.6,230,5.507787,58.81361,15.12138,2.346387,11091.84,0.0450552,"Arkansas","no"
"1990",532.2,10.3,113.2,261,5.545241,61.01876,14.93504,2.354343,11055.86,0.0452106,"Arkansas","no"
"1991",593.3,11.1,135.6,277,5.603151,60.95456,14.80757,2.370666,11151.41,0.0455241,"Arkansas","no"
"1992",576.5,10.8,125.5,317,5.660378,60.80524,14.68971,2.394098,11661.75,0.045974,"Arkansas","no"
"1993",593.3,10.2,124.9,340,5.731631,60.91962,14.56569,2.423743,11709.56,0.0465433,"Arkansas","no"
"1994",595.1,12,128.7,327,5.748989,61.00677,14.45512,2.450605,11928,0.0470591,"Arkansas","no"
"1995",553.2,10.4,125.7,345,5.777742,60.96267,14.39696,2.480121,12129.08,0.0476259,"Arkansas","no"
"1996",524,9,114,361,5.83566,60.96302,14.36884,2.504858,12345.67,0.048101,"Arkansas","yes"
"1997",526.9,9.9,111.5,357,5.884809,61.0488,14.30606,2.524007,12561.59,0.0484687,"Arkansas","yes"
"1998",490.2,7.9,96.2,392,5.917338,61.09908,14.25316,2.538202,12987.42,0.0487413,"Arkansas","yes"
"1999",425.2,5.6,79.3,415,5.961927,61.2114,14.17539,2.551373,13295.33,0.0489942,"Arkansas","yes"
"1977",706,11.5,287,85,5.011663,65.51936,18.78835,22.3524,14089.08,0.1429538,"California","no"
"1978",742.9,11.7,306.1,80,5.16054,65.27907,18.63814,22.83596,14696.3,0.1460464,"California","no"
"1979",811.1,13,333.8,88,5.299742,64.99982,18.49175,23.25689,14880.71,0.1487384,"California","no"
"1980",893.6,14.5,384.2,93,5.594304,64.43827,18.38397,23.8008,14543.06,0.1522774,"California","no"
"1981",863,13,388.2,98,5.764122,64.16476,18.33019,24.28594,14472.68,0.1553813,"California","no"
"1982",814.7,11.2,372.1,114,5.955957,63.59418,18.20489,24.82001,14214.77,0.1587982,"California","no"
"1983",772.6,10.5,340.9,135,6.108492,63.02439,18.00803,25.36002,14491,0.1622533,"California","no"
"1984",763.4,10.6,327.5,150,6.266548,62.47379,17.79389,25.84439,15273.99,0.1653522,"California","no"
"1985",765.3,10.5,327.7,162,6.419227,61.9726,17.58418,26.44111,15657.73,0.1691701,"California","no"
"1986",920.5,11.3,342.9,181,6.571936,61.4321,17.35141,27.10224,16023.85,0.1734,"California","no"
"1987",918,10.6,301.3,212,6.712571,60.96083,17.1327,27.77715,16334.12,0.177718,"California","no"
"1988",929.8,10.4,305.8,231,6.850673,60.54552,16.92792,28.46425,16598.35,0.1821141,"California","no"
"1989",977.7,10.9,331.8,257,6.997949,60.14187,16.78493,29.21816,16674.29,0.1869376,"California","no"
"1990",1045.2,11.9,377,283,7.156204,60.53821,16.61047,29.95011,16679.42,0.1920211,"California","no"
"1991",1089.9,12.7,411.3,311,7.26585,59.86163,16.22872,30.41411,16099.54,0.194996,"California","no"
"1992",1119.7,12.7,424.1,318,7.394206,59.40587,15.9039,30.87592,16132.62,0.1979568,"California","no"
"1993",1077.8,13.1,405.1,339,7.525185,58.84095,15.59114,31.14721,15796.7,0.1996962,"California","no"
"1994",1013,11.8,356.8,368,7.618953,58.34014,15.29132,31.31718,15773.86,0.2007859,"California","no"
"1995",966,11.2,331.2,384,7.714913,57.91899,15.08377,31.49352,16020.38,0.2019165,"California","no"
"1996",862.7,9.1,295.6,416,7.803103,57.64225,14.95196,31.78083,16232.5,0.2037585,"California","no"
"1997",798.3,8,252.5,446,7.907242,57.71132,14.88057,32.21771,16606.78,0.2065595,"California","no"
"1998",703.7,6.6,210.6,475,8.000757,57.91366,14.87256,32.68279,17269.3,0.2095414,"California","no"
"1999",627.2,6,181.1,483,8.08967,58.14976,14.91536,33.14512,17853.89,0.2125055,"California","no"
"1977",511.9,6.3,170.7,87,2.026637,72.37897,20.01816,2.696142,12440.15,0.0259829,"Colorado","no"
"1978",498,7.3,159.2,89,2.081794,72.41429,19.80795,2.766748,13047.59,0.0266633,"Colorado","no"
"1979",522.1,5.8,157,93,2.115095,72.49131,19.576,2.849234,13165.71,0.0274583,"Colorado","no"
"1980",528.6,6.9,160.1,90,2.207162,72.37984,19.3459,2.908803,13068.08,0.0280786,"Colorado","no"
"1981",531.7,8.1,159.5,96,2.254344,72.38009,19.03929,2.977895,13306.54,0.0287455,"Colorado","no"
"1982",504.2,6,150.6,92,2.313977,72.21121,18.55973,3.061569,13359.24,0.0295533,"Colorado","no"
"1983",476.4,6.4,126.4,108,2.368948,71.82253,18.04688,3.133628,13570,0.0302488,"Colorado","no"
"1984",457.8,5.8,114,109,2.424206,71.46875,17.52742,3.169987,14146.21,0.0305998,"Colorado","no"
"1985",471,5.8,124.2,104,2.491744,71.09287,17.11547,3.208717,14275.22,0.0309737,"Colorado","no"
"1986",523.6,7,144.8,103,2.547748,70.60625,16.64707,3.237447,14336.75,0.031251,"Colorado","no"
"1987",467.5,5.8,118.8,115,2.599251,70.12352,16.22412,3.260478,14397.71,0.0314733,"Colorado","no"
"1988",472.6,5.7,98.8,145,2.643703,69.71968,15.81841,3.262281,14553.97,0.0314907,"Colorado","no"
"1989",471.4,4.4,90,174,2.698713,69.4189,15.47111,3.275821,14894.04,0.0316214,"Colorado","no"
"1990",526,4.2,90.6,207,2.750993,70.51215,15.20009,3.303862,15013.69,0.0318506,"Colorado","no"
"1991",559.3,5.9,107.4,209,2.798311,70.5401,14.87783,3.367567,14976,0.0324647,"Colorado","no"
"1992",578.8,6.2,120.5,249,2.829628,70.58759,14.6569,3.459995,15227.37,0.0333558,"Colorado","no"
