"year","country","opec","com","pop","gdp","sr"
1960,"ALGERIA","no","no",10800,1723,19.9
1961,"ALGERIA","no","no",11016,1599,21.1
1962,"ALGERIA","no","no",11236,1275,15
1963,"ALGERIA","no","no",11460,1517,13.9
1964,"ALGERIA","no","no",11690,1589,10.6
1965,"ALGERIA","no","no",11923,1584,11
1966,"ALGERIA","no","no",12267,1548,8.3
1967,"ALGERIA","no","no",12622,1600,11.3
1968,"ALGERIA","no","no",12986,1758,15.1
1969,"ALGERIA","no","no",13360,1835,18.2
1970,"ALGERIA","no","no",13746,1826,19.8
1971,"ALGERIA","no","no",14169,1676,20.6
1972,"ALGERIA","no","no",14609,2011,19.5
1973,"ALGERIA","no","no",15064,2012,23.4
1974,"ALGERIA","no","no",15534,2256,27.9
1975,"ALGERIA","no","no",16018,2343,28.3
1976,"ALGERIA","no","no",16516,2456,27
1977,"ALGERIA","no","no",17030,2518,30
1978,"ALGERIA","no","no",17559,2591,34
1979,"ALGERIA","no","no",18105,2807,28.2
1980,"ALGERIA","no","no",18669,2758,28.5
1981,"ALGERIA","no","no",19254,2761,28.6
1982,"ALGERIA","no","no",19862,2823,27.2
1983,"ALGERIA","no","no",20495,2903,27.3
1984,"ALGERIA","no","no",21173,2962,26.4
1985,"ALGERIA","no","no",21848,2988,26
1960,"ANGOLA","no","no",4816,931,3.3
1961,"ANGOLA","no","no",4918,976,2.9
1962,"ANGOLA","no","no",5022,984,2.5
1963,"ANGOLA","no","no",5128,1001,2.1
1964,"ANGOLA","no","no",5236,1013,2.6
1965,"ANGOLA","no","no",5347,1062,3
1966,"ANGOLA","no","no",5459,1066,3.2
1967,"ANGOLA","no","no",5575,1081,4.7
1968,"ANGOLA","no","no",5693,1078,4.8
1969,"ANGOLA","no","no",5813,1146,4.5
1970,"ANGOLA","no","no",5935,1165,4.5
1971,"ANGOLA","no","no",6076,1149,4.8
1972,"ANGOLA","no","no",6223,1130,4.8
1973,"ANGOLA","no","no",6375,1195,4.5
1974,"ANGOLA","no","no",6530,1110,3.9
1975,"ANGOLA","no","no",6687,731,2.9
1976,"ANGOLA","no","no",6852,648,3.3
1977,"ANGOLA","no","no",7026,646,3.5
1978,"ANGOLA","no","no",7208,663,3.9
1979,"ANGOLA","no","no",7393,662,3.9
1980,"ANGOLA","no","no",7581,675,3.9
1981,"ANGOLA","no","no",7783,650,3.7
1982,"ANGOLA","no","no",7990,679,3.4
1983,"ANGOLA","no","no",8202,673,3.4
1984,"ANGOLA","no","no",8400,691,3.3
1985,"ANGOLA","no","no",8605,711,3.3
1960,"BENIN","no","no",2050,1100,4.3
1961,"BENIN","no","no",2100,1116,4.1
1962,"BENIN","no","no",2156,1079,4.1
1963,"BENIN","no","no",2213,1129,4.2
1964,"BENIN","no","no",2271,1129,3.7
1965,"BENIN","no","no",2332,1191,3.2
1966,"BENIN","no","no",2393,1179,3.2
