"id","year","type","pl","pf","pk","output","cost","empexp","nbemp","faexp","fa","intexp","bfunds","dep","nondep","npl","ec","quality","rindex","ta","ts"
1,1990,"conventional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1991,"conventional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1992,"conventional",23585.41871,0.060803474,0.217391304,119306840.5,11637895.01,4740669.16,201,790111.5267,3634513.023,8849249.099,145538543.2,108561323.8,36977219.45,1000,15802230.53,8.38175e-06,0.068027211,232292788.9,53569561.51
1,1993,"conventional",28599.3416,0.02550979,0.285714286,321415143.7,37105677.09,10467359.03,366,1152369.801,4033294.304,30153676.46,1182043323,1068534898,113508425.4,672215.7173,24007704.19,0.002091425,0.018812552,1276153524,58866890.67
1,1994,"conventional",19551.83853,0.181567244,0.121827411,113399989.3,37976426.35,6041518.107,309,833312.8424,6840109.581,41110100.22,226418043.5,200481181.3,25936862.22,9791425.898,34721368.43,0.086344152,0.12292563,282458332.2,36492158.22
1,1995,"conventional",20325.36044,0.11297911,0.083707025,167106190.2,41037103.55,8048842.733,396,1221504.588,14592617.31,39284460.06,347714368.6,273311651.6,74402716.98,5693083.885,27265727.42,0.034068659,0.064142036,425083596.7,39546211.05
1,1996,"conventional",24536.60964,0.134287238,0.070054267,292764566.9,73329791.58,10526205.54,429,1694695.223,24191177.58,72131957.22,537146778.7,397215078.1,139931700.6,4570903.312,23868946.8,0.015612898,0.039165769,609433884.1,52810044.79
1,1997,"conventional",24291.29978,0.137306871,0.160265879,244914617.8,74008522.14,12558601.99,517,1356504.047,8464085.162,68331547.2,497655701.4,426011033.8,71644667.68,3306869.314,31255853.63,0.013502131,0.052757642,592442203.1,33575037.96
1,1998,"conventional",28920.19759,0.322962834,0.202680067,141492985.9,189410905,19289771.79,667,2169202.962,10702596.43,199871436.5,618868226.8,529565188.5,89303038.29,321042038.3,106398508.9,2.268960799,0.250595349,424582936.1,26890945.81
1,1999,"conventional",28645.2031,0.235183483,0.272775145,222644177,170320810.8,18705317.62,653,2263074.747,8296484.448,157063066.9,667832047.1,621425908.2,46406138.92,242009194,65533052.51,1.086977424,0.152001094,431135399.1,11494497.41
1,2000,"conventional",24068.3024,0.152864373,0.232744491,160984519.7,79395999.46,15138962.21,629,1808862.538,7771881.218,91439558.22,598174422.8,558366708.5,39807714.3,196088908.4,42461561.92,1.218060648,0.096373466,440593905,74736595.14
2,1990,"conventional",21074.52279,0.121776505,0.151515152,235611659.5,48412479.78,12518266.54,594,2235404.739,14753671.28,38001880.57,312062501,168549517,143512984,10282861.8,13412428,0.043643264,0.032432431,413549876.8,30401504.45
2,1991,"conventional",19587.75435,0.142965204,0.176470588,255596086.3,51737440.19,10459860.82,534,2413814.036,13678279.54,50690094.76,354562462,163871153,190691309,10191659.26,26820156,0.039874082,0.058343057,459697473.1,77778452.28
2,1992,"conventional",22213.09986,0.060307586,0.166666667,427766380.6,59945756.81,12483762.12,562,2844401.496,17066408.98,55149784.56,914475081,385574425,528900656,10271449.85,47406692,0.024011821,0.04418913,1072813431,100976253.1
2,1993,"conventional",22978.80258,0.054942475,0.127272727,578585670.9,66606047.58,12868129.45,560,2016647.152,15845084.76,67413633.36,1226985746,643598534,583387212,8546742.691,48015408,0.014771784,0.033572819,1430186954,175544333
2,1994,"conventional",16595.89636,0.154933726,0.061403509,178294226.9,46417907.92,7534536.95,454,972198.3161,15832944,73053759.18,471516183,216314125,255202058,2638824.001,43401711,0.014800389,0.071793694,604533745.8,165273713.7
2,1995,"conventional",56137.80777,0.078312961,0.099529781,278306732.9,67536453.77,14483554.4,258,2770197.906,27832854.55,70432827.06,899376378,635204198,264172180,3817201.838,43625164,0.013715808,0.039133583,1114775625,111527731.4
2,1996,"conventional",22966.65224,0.152666577,0.122455902,534998573.5,185210724.3,29466214.82,1283,4308344.897,35182827.58,217553515.6,1425023861,1007233751,417790110,6671370.63,65639604,0.012469885,0.037621501,1744736470,233581513.4
2,1997,"conventional",22142.32525,0.209807769,0.134780476,860698692.5,318723944.6,35494147.38,1603,6870036.627,50972046.09,480527493.6,2290322684,1763361494,526961190,4888415.507,103144317,0.00567959,0.038382715,2687259522,635862835
2,1998,"conventional",26166.03627,0.217455374,0.13236984,740314908.9,297167534.8,52803061.18,2018,10738451.03,81124605.31,532795687.4,2450138051,1814920129,635217922,12954264.96,143418378,0.017498317,0.047071118,3046844553,948009818
2,1999,"conventional",24953.49592,0.232728318,0.142470472,951175121.8,402639429.1,63781135.57,2556,12647879.13,88775441.8,645751777.2,2774702209,2445520949,329181260,14487173.47,185676982,0.015230816,0.052704125,3523006661,931729280.7
2,2000,"conventional",18950.75421,0.217878003,0.15310521,1743862379,512430419.5,80066936.55,4225,20360318.94,132982535,670066093.3,3075418745,2426058325,649360420,95129467.95,389230984,0.054551018,0.109872109,3542582265,1092288296
3,1990,"conventional",17082.14425,0.197138315,0.050847458,157372493.6,58356678.84,12965347.49,759,1341242.844,26377775.92,55438037.53,281213916.2,232482092.9,48731823.32,8941618.957,42472690.05,0.056818182,0.111111111,382254210.4,40684366.26
3,1991,"conventional",19651.13191,0.207091056,0.045045045,236821977.1,72918871.49,14482884.22,737,1341007.798,29770373.11,68927800.81,332838135.5,250232055.1,82606080.35,15019287.34,26551954.4,0.063420159,0.055183946,481153597.9,49080885.4
3,1992,"conventional",20602.07587,0.192911392,0.072463768,284124105,66901118.83,14854096.7,721,1580223.053,21807078.14,60206498.34,312094053.1,186308298,125785755.1,11535628.29,21333011.22,0.040600667,0.043241512,493345637.3,54833739.95
3,1993,"conventional",23295.21748,0.116511628,0.116071429,355986237.7,61130595.94,18053793.55,775,2496801.236,21510902.95,48111439.19,412932512.1,229609682.9,183322829.2,10467359.03,48015408.38,0.029403831,0.079744817,602113221.1,66069201.93
3,1994,"conventional",14197.40316,0.236345651,0.075,266937880.5,119090488.2,9895590.003,697,937476.9476,12499692.64,116142977.4,491411527.4,453356907.6,38054619.8,7569258.318,34721368.43,0.028355879,0.060132291,577416357,19443966.32
3,1995,"conventional",13122.81199,0.245574566,0.086782376,352425886.3,160961441.8,11364355.19,866,1417817.826,16337623.87,180957179.7,736872642.9,687227206.4,49645436.48,5365895.156,43625163.87,0.015225599,0.051051664,854529709.8,77958167.83
3,1996,"conventional",13407.13793,0.242920367,0.075432526,451278242.6,165186069.1,13581430.73,1013,1300857.6,17245314.06,200451415.2,825173359.7,782376338.1,42797021.61,2052729.425,47737893.59,0.0045487,0.050969049,936605537.9,150565316.4
3,1997,"conventional",13704.70376,0.184819045,0.082742317,441163871.6,133518536.5,15390382.33,1123,1531536.828,18509716.52,155785425.6,842907860.6,810370517,32537343.62,1193973.608,50009365.8,0.002706417,0.051735065,966643533.9,148277769.6
3,1998,"conventional",19582.8782,0.248812297,0.188746439,473155155.1,213885905.4,28669333.69,1464,4750733.759,25169925.27,243925976.7,980361418.5,933474365.4,46887053.11,11190218.91,89636486.02,0.02365021,0.078496386,1141918635,166383245.3
3,1999,"conventional",15805.29533,0.258097239,0.182347266,294394131.8,353499950.8,53643172.35,3394,12798605.15,70188083.67,509104440.6,1972529589,1907424686,65104903.23,621764495.6,54610877.09,2.11201389,0.056428568,967787750.6,227720804.2
3,2000,"conventional",23794.8334,0.217409228,0.225052744,149017436.2,112762908.2,47351718.47,1990,10115759.44,44948394.07,338136986.8,1555301906,1507559541,47742364.84,305878938.3,35384634.94,2.052638578,0.031462529,1124659575,762238821.2
4,1990,"conventional",25640.72172,0.164013841,0.079545455,480164938,114588553.4,24589452.13,959,3129566.635,39343123.41,105958184.6,646031969.7,425621062.4,220410907.3,13859509.38,67062142.18,0.02886406,0.071292776,940658314.3,105511103.7
4,1991,"conventional",30267.26064,0.159638554,0.061111111,563223275.1,140071179.7,28965768.44,957,2950217.155,48276280.73,127932143.9,801386260.1,605330920,196055340.1,14482884.22,80460467.88,0.025714286,0.068571429,1173381823,102989398.9
4,1992,"conventional",28188.65888,0.136925358,0.061488673,725164359.2,149669711.2,26863791.91,953,3002423.801,48828892.35,131316535.7,959037371.1,547231243.4,411806127.7,11693650.6,102714498.5,0.016125518,0.072110051,1424413060,69687836.66
4,1993,"conventional",28847.20187,0.120305749,0.070208729,958963736.1,163522501.2,29193368.29,1012,3553140.22,50608240.43,139052622.7,1155826910,643886626.3,511940284.1,12868129.45,124840061.8,0.013418786,0.070369167,1774073309,60691476.19
4,1994,"conventional",16846.29357,0.266303367,0.071480671,662414266.9,245015416.6,18193997.06,1080,3402694.106,47602996.12,256208977.7,962094397.8,838521047.6,123573350.2,14582974.74,93747694.76,0.022014886,0.073687945,1272225661,97219831.61
4,1995,"conventional",15966.05931,0.225107272,0.080378973,872306964.1,300704539.1,24124715.62,1511,5736709.049,71370768.09,312399798.5,1387781901,1216160506,171621394.7,16752062.92,130875491.6,0.019204321,0.071141465,1839651348,133842002.7
4,1996,"conventional",18346.92325,0.240407612,0.058762411,725615982.6,321243565,31721830.29,1729,6074646.96,103376408.6,363488256.3,1511966500,1324547530,187418970.3,50124788.27,119344734,0.069078947,0.068219339,1749426718,204902973.8
4,1997,"conventional",18424.34425,0.222048935,0.10713934,808670198.5,344992003.3,38138392.59,2070,6801273.749,63480638.71,365799757.3,1647383524,1516934093,130449430.7,24867157.14,78139634.06,0.030750678,0.042030228,1859129430,177195685.4
4,1998,"conventional",23387.88313,0.209813966,0.117386884,801081275.6,331703700.7,52412246.1,2241,8278825.849,70525987.2,333935350.5,1591578275,1491798524,99779750.78,12111681.99,161345674.8,0.015119168,0.08462703,1906550130,185992123
4,1999,"conventional",25179.64281,0.316651165,0.109373257,456031405.8,381327082.6,57686561.69,2291,8569538.833,78351317.58,649238135.6,2050326061,1941818617,108507443.9,230130236.1,98299578.76,0.504636815,0.075227689,1306694116,483671062.9
4,2000,"conventional",23478.39508,0.258825512,0.105422926,200159556.8,115904798.9,44561993.85,1898,7619019.595,72270993.78,360827030.2,1394093755,1267934793,126158962,237719639.1,63692342.89,1.187650707,0.04745669,1342115142,933215961.8
5,1990,"conventional",21331.89413,0.250457038,0.02739726,274954782.9,188734591.8,64379656.49,3018,1788323.791,65273818.39,183750269.6,733659835.4,669280178.9,64379656.49,95228241.89,370183024.8,0.346341463,0.210740646,1756581044,137253851
5,1991,"conventional",19801.87928,0.39570985,0.039370079,250500256.7,294197185.3,60613552.47,3061,2682015.596,68123196.13,376018586.5,950238125.6,796022228.8,154215896.8,92797739.62,352953252.4,0.370449679,0.192679356,1831816652,157434315.5
5,1992,"conventional",19117.30973,0.452042268,0.043589744,201478439.3,306736448.1,57046052.23,2984,2686379.191,61628699.08,703041236.5,1555255530,1361362161,193893368.7,47722736.21,296765889.4,0.236862745,0.122648903,2419637539,371984506.8
5,1993,"conventional",11447.38213,0.414705575,0.064814815,155089769.1,205011631,32842539.33,2869,2016647.152,31113984.63,380762188.4,918150639,882907329.2,35243309.75,65204924.58,72023112.57,0.420433436,0.063710499,1130474775,191965602.7
5,1994,"conventional",6146.951692,0.423957722,0.053333333,130830116.2,174683937.3,19166195.37,3118,1249969.264,23436923.69,325894764.1,768696375.7,676927798.9,91768576.76,10590017.37,26041026.32,0.080944798,0.038030526,684740106.8,145551976.5
5,1995,"conventional",7629.03112,0.485544622,0.023508772,89169834.94,174218209.4,18584319.81,2436,1461442.99,62165858.51,312116234.9,642816789.6,611886548.4,30930241.18,3533638.273,50168938.45,0.03962818,0.110571607,453723516.8,91351093.14
5,1996,"conventional",2027.416144,0.05859839,0.001603135,24012160.48,6599439.807,4523165.418,2231,107410.2606,67000133.66,5298906.189,90427504.94,90081405.21,346099.73,1670826.276,27449288.82,0.069582505,0.141878971,193469748.3,40613012.98
5,1997,"conventional",11126.50306,0.322186562,0.020812401,13577542.81,27218139.08,19159838.27,1722,906419.7551,43551906.44,19453643.3,60380058.03,59404875.4,975182.63,387572.585,14377692.67,0.02854512,0.134778787,106676228.4,23354373.83
5,1998,"conventional",13977.92895,0.150254415,0.06151879,411395616.2,126562732.6,26166683,1872,3105007.876,50472512.55,154791455,1030195720,1003986011,26209708.51,641797.2399,53781891.61,0.001560049,0.046300869,1161574124,243140761.1
5,1999,"conventional",17812.22041,0.243031852,0.086306235,631349796.7,334941655.6,35588816.38,1998,4777359.528,55353585.02,325531069.5,1339458458,1291475157,47983301.05,1712597.106,65533052.51,0.002712596,0.044209316,1482335803,66345662.36
5,2000,"conventional",17108.42752,0.245071352,0.105725031,532142447.9,295256607.8,34815650.01,2035,5729480.089,54192276.1,310157648.3,1265581007,1206083866,59497140.57,75939672.73,42461561.92,0.142705535,0.036307788,1169489077,115837971.7
6,1990,"conventional",28866.64388,0.112924282,0.065217391,560192427.7,89892186.2,18330318.86,635,2682485.687,41131447.2,77345003.98,684928012.1,287473049.5,397454962.6,27271937.82,67062142.18,0.04868316,0.073385519,913833457.4,68850465.97
6,1991,"conventional",28735.88138,0.097031963,0.045801527,461843085.6,62721595.85,15287488.9,532,1609209.358,35134404.31,68391397.69,704833698.6,116131275.3,588702423.3,26820155.96,73755428.89,0.058072009,0.072482868,1017556717,227434922.5
6,1992,"conventional",29915.13576,0.058345523,0.075471698,543596730.4,59700884.45,13431895.95,449,1896267.664,25125546.55,56730007.62,972311244.8,122783331.3,849527913.5,29076104.18,71110037.4,0.053488372,0.054671364,1300681595,151385368.5
6,1993,"conventional",26605.94057,0.053304576,0.052959502,551793073.1,64305891.65,12291944.54,462,1632523.885,30825892.18,66453325.19,1246672063,195326681.3,1051345382,33994909.13,115236980.1,0.061608075,0.070451477,1635692902,176024487.1
6,1994,"conventional",16619.44152,0.219568823,0.042031524,384261384.4,154305031.2,7395651.476,445,833312.8424,19825901.37,160898821.3,732794480.7,400233213.9,332561266.8,10277525.06,95483763.19,0.026746182,0.09491268,1006016929,38992096.75
6,1995,"conventional",21853.20127,0.244300118,0.063684211,465633186.5,208803998.6,11735169.08,537,2639322.414,41443905.67,234659756.4,960538858.1,809094101.7,151444756.4,9924724.78,59984600.32,0.02131447,0.047830246,1254114398,96346174.4
6,1996,"conventional",19020.13281,0.206669428,0.120460266,883676148.3,276442365.8,16338294.08,859,3998048.589,33189770.52,297705438.9,1440490939,1226875800,213615139.4,7160684.039,89019237.08,0.00810329,0.049842634,1786005879,143535911.6
6,1997,"conventional",19323.85386,0.203438896,0.133740831,1131611929,391413339.5,21391506.22,1107,3419390.387,25567288.27,422172814.9,2075182392,1888103606,187078786.3,10151901.26,93767560.88,0.008971186,0.038240918,2452021717,171532124.7
6,1998,"conventional",19035.18742,0.402209721,0.139086668,389696415.7,953599064.9,32588240.86,1712,4062325.546,29207152.6,920584638.7,2288817474,2115277652,173539822.4,1549212486,107563783.2,3.97543427,0.056393309,1907385542,1545333.019
6,1999,"conventional",20182.74776,0.352314316,0.182792243,223249265.5,449307549.2,30778690.33,1525,3726646.253,20387332.64,951553029,2700863935,2559589965,141273970.2,845409143.9,218443508.4,3.786839531,0.093994238,2324009563,288882802.1
6,2000,"conventional",18997.25991,0.207284635,0.13844764,99105285.53,102932748,25076383.09,1320,2602893.746,18800564.23,399059420.5,1925176079,1830065011,95111067.94,630251302.1,141538539.7,6.359411597,0.089971911,1573141423,426437220.3
7,1990,"conventional",10133.83482,0.284130982,0.034482759,821734782.2,232700107.1,7600376.114,750,447080.9479,12965347.49,252153654.6,887455681.5,464070023.9,423385657.6,894161.8957,142171741.4,0.001088139,0.120181406,1182976188,100593213.3
7,1991,"conventional",9428.961079,0.634137559,0.02,1022116144,770683919.2,7241442.109,768,268201.5596,13410077.98,944605892.9,1489591462,1004146639,485444822.8,268201.5596,101916592.6,0.000262398,0.058157331,1752428990,242990613
7,1992,"conventional",9625.724183,0.791074014,0.034482759,134318959.5,545798144.4,7585070.656,788,474066.916,13747940.56,1467711172,1855339887,1091460063,763879824,316044.6107,64631122.88,0.002352941,0.033944726,1904010757,232292788.9
7,1993,"conventional",3031.275781,0.052380952,0.027027027,1248400.618,4568666.107,2400770.419,792,1824585.518,67509664.18,1056338.984,20166471.52,20166471.52,0,1000,81626194.24,0.000801025,0.640060241,127528924.7,2592832.052
7,1994,"conventional",6519.517259,0.244127517,0.016666667,4444335.159,6412913.7,4583220.633,703,833312.8424,49998770.54,10103918.21,41387871.17,41387871.17,0,1000,29513163.17,0.000225006,0.197490706,149440769.7,40624001.06
7,1995,"conventional",7995.608812,0.153221672,0.016769336,66593812.64,31179497,4973268.681,622,1068816.515,63736364.41,39109959.41,255250833.8,255229021.2,21812.58,349001.3109,34900131.09,0.005240747,0.098286136,355087021.3,37015951.54
7,1996,"conventional",13846.2516,0.259980607,0.031692134,383908140.3,205126640,14607795.44,1055,2004991.531,63264643.49,223986196.7,861549634.7,852968748.3,8580886.37,11934.4734,65639603.69,3.10868e-05,0.065698313,999106375,72239367.48
7,1997,"conventional",15609.96368,0.156022961,0.042617801,445058350.9,183466215.4,21729069.44,1392,2544226.485,59698680.42,200831361.9,1287191067,1271463121,15727945.54,1362755.218,43758195.08,0.00306197,0.030226483,1447677372,116409301.2
7,1998,"conventional",19387.1487,0.194800175,0.053296258,409147533.2,170562653.3,34664221.87,1788,3298622.685,61892200.87,175289526.6,899842755.9,795918214,103924541.9,6604416.29,62745540.21,0.016141894,0.056444512,1111632260,131722608.9
7,1999,"conventional",18914.98724,0.181846876,0.061011236,98507100.1,135885188.9,32004158.41,1692,3558444.751,58324416.73,212691890.8,1169620815,1081684196,87936618.73,292277414.2,52426442.01,2.96706952,0.053624694,977654843.9,110335816.1
7,2000,"conventional",17702.88005,0.149377097,0.047667889,22647581.75,40764717.75,24907952.23,1407,2631201.454,55198615.12,114775017.3,768357532.3,679407637,88949895.31,206531621.8,33969249.54,9.119367537,0.053721441,632322010.9,173894249.9
8,1990,"conventional",15017.94387,0.256644756,0.028248588,745283940.1,399581834.9,124288503.5,8276,2235404.739,79133327.77,401478691.2,1564336237,1560759589,3576647.58,3576647.583,39343123.41,0.00479904,0.019779726,1989063137,350511463.1
8,1991,"conventional",14362.87859,0.283884117,0.028011204,729240040.5,421978183.9,122299911.2,8515,2682015.596,95747956.77,522993041.2,1842276513,1832353055,9923457.71,8046046.788,43716854.21,0.011033468,0.019425575,2250479286,554909026.8
8,1992,"conventional",16201.89022,0.33105225,0.027124774,693085831.2,512040012.2,130684446.5,8066,2370334.58,87386334.85,649787719.6,1962795055,1902430534,60364520.64,5688802.992,55307806.87,0.008207934,0.023967678,2307599725,495241904.9
8,1993,"conventional",16061.15776,0.356590981,0.034319527,1118566954,760669912.6,105537867.6,6571,2784893.686,81146040.16,868694768.4,2436109759,2248177451,187932308.4,8066588.607,48015408.38,0.007211538,0.016894746,2842032022,370967045.1
