Student_ID,Practice_Exam,Final_Exam,User,Avg_Grade_Q1,Avg_Grade_Q2,Avg_Grade_Q3,Avg_Grade_Q4,Avg_Grade_Q5,Avg_Grade_Q6,No_access_Q1,No_access_Q2,No_access_Q3,No_access_Q4,No_access_Q5,No_access_Q6
1046,8.33,8.98,1,5,10,10,10,0,8,1,1,1,1,0,1
1048,3.89,6.48,0,0,0,0,0,0,0,0,0,0,0,0,0
1050,7.64,6.9,1,9,10,10,10,10,10,1,1,1,1,1,1
1052,5.97,7.69,1,6,9,5,4,9,4,2,2,2,1,1,2
1054,3.89,7.78,1,8.33,10,10,10,10,10,12,1,1,1,1,1
1056,4.72,6.02,1,6.67,8,9,10,6,6,3,2,2,2,2,2
1058,,6.02,1,8,5,6.5,8,3,7,2,2,2,2,1,2
1060,,3.98,0,0,0,0,0,0,0,0,0,0,0,0,0
1062,,2.96,0,0,0,0,0,0,0,0,0,0,0,0,0
1064,5.56,7.64,1,8.5,8,8,10,10,9.5,2,1,2,4,2,2
1066,3.75,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0
1070,8.33,7.25,1,3,10,6,6.5,4,5,2,1,1,2,1,1
1078,5.00,6.53,1,9.33,10,8,10,8,7.5,6,1,1,1,1,2
1080,4.58,5.28,1,9.5,10,3,7,0,4,2,1,2,2,0,1
1082,7.78,7.59,1,6,4,2,2,6,3,1,1,1,1,1,1
1084,8.61,6.94,0,0,0,0,0,0,0,0,0,0,0,0,0
1088,7.50,5.79,1,7.33,7,2,5,8,6,3,2,1,2,3,1
1090,9.58,8.87,0,0,0,0,0,0,0,0,0,0,0,0,0
1092,7.78,5.6,1,0,2,3,4,4,3.5,0,1,1,1,1,2
1094,8.89,7.36,0,0,0,0,0,0,0,0,0,0,0,0,0
1096,7.92,9.07,1,6.25,9,4.25,8,7.25,5,4,4,4,4,4,2
1100,9.17,8.52,1,7,10,6.5,8,10,7,2,2,2,1,1,1
1102,7.08,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0
1104,7.22,5.74,1,7,10,8,9,8,9,2,1,1,1,1,1
1106,6.81,9.17,1,8,10,5,9,5.5,9,3,1,2,1,2,1
1108,3.06,8.24,1,8,6,5,0,0,0,1,1,1,0,0,0
1110,,3.98,0,0,0,0,0,0,0,0,0,0,0,0,0
1112,6.67,7.01,0,0,0,0,0,0,0,0,0,0,0,0,0
1114,8.33,9.24,1,7.67,8.67,5.5,9.33,8.33,5.67,3,3,4,3,3,3
1116,4.86,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0
1118,5.00,7.36,1,7.67,8,3,3,5,7,3,3,1,1,2,2
1120,0.00,7.59,0,0,0,0,0,0,0,0,0,0,0,0,0
1122,5.56,6.94,1,2.67,6,2,7,5,6,3,1,1,1,1,1
1124,7.50,9.72,1,6,0,0,0,0,0,1,0,0,0,0,0
1126,,5.93,0,0,0,0,0,0,0,0,0,0,0,0,0
1128,6.11,7.41,1,9,8,6,8,3,3,1,1,2,1,1,1
1130,5.28,9.07,1,7,10,4,10,9,10,1,1,1,1,1,1
1132,5.28,7.5,1,5,8,0,5,0,0,1,1,0,1,0,0
1134,0.00,7.04,0,0,0,0,0,0,0,0,0,0,0,0,0
1136,6.11,6.99,0,0,0,0,0,0,0,0,0,0,0,0,0
1138,3.61,7.82,1,7,8,8,7,7,6,1,1,1,1,1,1
1144,3.89,8.7,1,0,8,8,10,7,8,0,1,1,1,1,1
1146,4.31,5.93,1,8,10,7,1,6,0,2,1,1,1,1,0
1148,1.39,6.71,1,7.5,7.33,7.33,7.25,7.33,5.25,4,3,3,4,3,4
1152,4.44,8.89,1,6,9,7,10,8,8,2,2,1,1,1,1
1154,9.17,9.17,1,7,6,2,3,3.5,2,1,1,1,1,2,2
1157,7.64,7.13,1,5,8,3.67,0,5,1,2,1,3,0,1,1
1160,,7.22,0,0,0,0,0,0,0,0,0,0,0,0,0
1163,3.47,5.37,0,0,0,0,0,0,0,0,0,0,0,0,0
1166,2.08,5.83,1,2,7,3,1,4,5,2,2,1,1,2,1
1169,3.47,4.72,0,0,0,0,0,0,0,0,0,0,0,0,0
1172,8.19,9.03,1,7,6,5,8,6,9,1,1,1,1,1,1
1175,0.97,6.85,0,0,0,0,0,0,0,0,0,0,0,0,0
1178,6.67,5.28,1,5,5,2,7,8,3,2,2,1,1,1,1
1181,,5.86,0,0,0,0,0,0,0,0,0,0,0,0,0
1184,,5.93,1,5,4,2,1,1,2,2,1,2,1,1,1
1187,5.69,7.69,1,6,7,7,8,2,8,3,2,1,1,1,1
1190,10.00,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,3.47,6.2,1,5,6,6,9,3,8,1,1,1,1,2,1
1202,2.22,5,1,9,6,4,5,4,5,1,1,1,1,1,1
1205,5.00,7.87,1,5,10,3,9,7,7,2,1,1,1,1,1
1208,7.22,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0
1211,6.81,8.06,1,9.33,9,9,10,9,9,3,4,4,2,3,3
1214,,6.94,0,0,0,0,0,0,0,0,0,0,0,0,0
1217,5.14,9.72,1,5,8,2.5,9,7,6,3,2,2,1,1,1
1220,8.47,7.69,1,4,8,5,8,5,2,1,2,1,1,1,1
1223,,5.74,0,0,0,0,0,0,0,0,0,0,0,0,0
1226,,5.63,0,0,0,0,0,0,0,0,0,0,0,0,0
1229,,6.2,1,7,10,5.5,9,8,4,1,1,2,2,2,1
