"participation","income","age","education","youngkids","oldkids","foreign"
"no",10.787497,3,8,1,1,"no"
"yes",10.524251,4.5,8,0,1,"no"
"no",10.968578,4.6,9,0,0,"no"
"no",11.104999,3.1,11,2,0,"no"
"no",11.10847,4.4,12,0,2,"no"
"yes",11.028254,4.2,12,0,1,"no"
"no",11.454707,5.1,8,0,0,"no"
"yes",10.490918,3.2,8,0,2,"no"
"no",10.62474,3.9,12,0,0,"no"
"no",10.48642,4.3,11,0,2,"no"
"no",10.660618,4.5,11,0,2,"no"
"no",10.467589,6,12,0,0,"no"
"no",11.229592,3.3,11,2,0,"no"
"no",11.906462,5.6,14,0,0,"no"
"no",11.501562,5.6,11,0,0,"no"
"no",11.293492,4.7,11,0,1,"no"
"no",10.861253,5,8,0,0,"no"
"yes",11.844049,3.9,12,0,0,"no"
"no",11.048627,4.7,8,0,1,"no"
"yes",10.957795,5.3,11,0,0,"no"
"no",10.860134,2.9,19,0,0,"no"
"yes",11.108121,4.6,11,0,1,"no"
"no",10.84862,4.4,8,0,2,"no"
"no",10.482397,2,12,1,0,"no"
"yes",10.48404,5.4,8,0,0,"no"
"yes",10.601204,4.7,8,0,0,"no"
"no",10.540632,2.8,9,2,0,"no"
"no",11.224276,4.7,8,0,1,"no"
"yes",10.841085,4.9,12,0,0,"no"
"no",10.566288,3,11,0,1,"no"
"no",11.769593,5.1,11,0,0,"no"
"no",10.667089,2.8,11,0,2,"no"
"no",10.624627,5.4,11,0,0,"no"
"no",10.537148,4.9,8,0,0,"no"
"no",11.135636,5.3,10,0,0,"no"
"no",10.315332,5.5,8,0,0,"no"
"no",10.372655,2.4,11,1,0,"no"
"no",11.507138,5,8,0,1,"no"
"yes",11.156561,3.6,13,0,2,"no"
"no",10.452933,2.3,9,1,0,"no"
"yes",11.106286,4.1,12,0,2,"no"
"no",10.657185,2.3,10,0,1,"no"
"no",10.518618,3.8,10,0,2,"no"
"no",10.699437,5.3,12,0,0,"no"
"no",9.668874,4.5,12,0,1,"no"
"no",10.922165,3.7,12,0,2,"no"
"no",11.249361,3.6,15,2,0,"no"
"no",10.051168,4.6,12,0,0,"no"
"no",10.621104,3.1,10,1,1,"no"
