"wage","hours","IQ","KWW","educ","exper","tenure","age","married","black","south","urban","sibs","brthord","meduc","feduc","lwage"
769,40,93,35,12,11,2,31,1,0,0,1,1,2,8,8,6.64509105682373
808,50,119,41,18,11,16,37,1,0,0,1,1,NA,14,14,6.69456195831299
825,40,108,46,14,11,9,33,1,0,0,1,1,2,14,14,6.71538352966309
650,40,96,32,12,13,7,32,1,0,0,1,4,3,12,12,6.47697257995605
562,40,74,27,11,14,5,34,1,0,0,1,10,6,6,11,6.33150196075439
1400,40,116,43,16,14,2,35,1,1,0,1,1,2,8,NA,7.24422740936279
600,40,91,24,10,13,0,30,0,0,0,1,1,2,8,8,6.39692974090576
1081,40,114,50,18,8,14,38,1,0,0,1,2,3,8,NA,6.98564195632935
1154,45,111,37,15,13,1,36,1,0,0,0,2,3,14,5,7.05098962783813
1000,40,95,44,12,16,16,36,1,0,0,1,1,1,12,11,6.90775537490845
930,43,132,44,18,8,13,38,1,0,0,0,1,1,13,14,6.8351845741272
921,38,102,45,14,9,11,33,1,0,0,0,1,2,16,NA,6.8254599571228
900,45,125,40,15,4,3,30,0,0,0,0,2,NA,12,12,6.80239486694336
1318,38,119,24,16,7,2,28,1,0,0,1,3,1,10,10,7.18387079238892
1792,40,118,47,16,9,9,34,1,0,0,1,1,1,12,12,7.49108743667603
958,50,105,37,10,17,2,35,1,0,0,1,1,2,6,8,6.8648476600647
1360,45,109,39,15,6,9,36,1,0,0,1,3,3,12,10,7.21524000167847
850,40,72,36,11,19,10,38,1,0,0,1,2,3,10,8,6.74523639678955
830,44,105,29,14,4,7,29,1,0,0,1,3,1,12,NA,6.72142553329468
471,44,101,34,12,13,7,31,1,0,0,1,3,2,8,NA,6.15485811233521
1275,40,123,37,14,9,1,31,1,0,0,1,0,1,12,NA,7.15070152282715
1615,50,113,49,16,10,4,36,1,0,0,1,2,1,12,12,7.38709020614624
873,65,95,36,12,14,3,38,1,0,0,1,5,1,10,10,6.77193546295166
2137,45,145,50,16,17,8,38,1,0,0,1,2,1,12,12,7.66715812683105
1053,38,114,35,16,12,7,32,1,0,0,1,0,1,11,11,6.95939874649048
1602,60,124,32,16,8,9,29,1,0,0,1,3,1,16,16,7.37900829315186
1188,40,93,40,13,16,5,35,1,0,0,1,2,1,12,8,7.08002662658691
800,40,115,39,18,11,1,35,1,0,1,1,0,1,8,8,6.68461179733276
1417,48,125,41,17,9,4,34,1,0,0,1,3,1,13,12,7.25629711151123
635,40,128,35,18,8,13,36,0,0,0,1,2,1,16,16,6.45362520217896
1000,40,103,40,12,17,2,34,1,0,0,1,1,1,8,NA,6.90775537490845
1424,50,98,41,14,15,4,35,1,0,0,1,1,1,12,12,7.26122522354126
2668,75,108,41,13,12,2,32,1,0,1,1,1,2,12,12,7.88908433914185
666,75,129,40,18,8,12,38,1,0,0,0,2,1,18,18,6.50128984451294
1779,40,132,42,17,8,9,32,1,0,0,1,1,1,17,14,7.48380661010742
782,40,92,24,13,9,10,31,1,0,0,1,3,3,8,NA,6.66185474395752
1572,35,108,39,14,7,5,28,1,1,0,1,1,NA,12,8,7.36010408401489
1274,40,106,35,13,11,12,31,1,0,0,1,0,1,15,12,7.14991664886475
714,35,105,37,16,9,2,29,1,0,0,1,1,2,13,12,6.57088279724121
1081,40,123,46,18,11,7,36,1,0,0,0,1,1,12,12,6.98564195632935
692,40,108,48,12,21,11,38,1,0,0,1,3,1,8,7,6.53958606719971
1318,38,122,47,17,10,9,33,1,0,0,1,1,NA,12,8,7.18387079238892
1239,45,109,44,12,16,4,38,1,0,0,1,3,3,12,NA,7.12205982208252
1027,27,100,40,13,12,15,38,1,0,0,1,3,3,10,9,6.93439722061157
1748,55,125,50,18,12,12,34,1,0,0,1,1,2,14,15,7.46622753143311
981,40,122,41,14,9,15,35,0,0,0,1,3,2,12,NA,6.88857269287109
770,40,105,34,17,7,11,30,1,0,0,1,3,1,12,12,6.64639043807983
1154,50,94,37,16,11,5,33,1,0,0,1,1,NA,12,12,7.05098962783813
1155,40,102,36,12,16,5,34,1,0,0,1,1,2,12,NA,7.05185556411743
808,60,109,47,13,14,12,38,1,0,0,1,2,2,12,10,6.69456195831299
1100,40,105,45,12,22,14,38,1,0,0,1,1,1,12,12,7.00306558609009
1154,40,134,46,18,10,10,37,1,0,1,1,2,1,12,12,7.05098962783813
1749,40,108,32,12,13,9,29,0,0,0,1,7,1,12,9,7.46679925918579
1000,50,104,36,16,11,8,30,1,0,0,1,1,1,12,11,6.90775537490845
462,40,112,35,12,11,1,29,1,0,0,1,8,3,12,NA,6.13556480407715
769,55,120,49,18,8,12,32,0,0,0,1,1,1,11,8,6.64509105682373
875,50,124,40,16,9,3,31,0,0,0,0,2,2,17,16,6.77422380447388
1375,40,103,34,12,12,7,29,1,0,0,1,4,2,12,10,7.22620916366577
1452,45,115,45,17,1,7,30,1,0,0,1,3,1,12,14,7.28069734573364
800,40,96,33,12,17,12,35,1,0,0,1,1,2,6,8,6.68461179733276
1748,55,123,48,17,10,7,36,1,0,0,1,1,1,12,12,7.46622753143311
1151,40,98,34,12,12,12,29,1,0,0,1,3,4,12,8,7.0483865737915
840,50,96,34,12,18,13,35,1,0,0,1,2,1,12,8,6.73340177536011
978,45,89,47,12,17,2,38,1,0,0,1,0,1,12,NA,6.8855094909668
963,40,109,43,12,15,15,37,0,0,0,0,5,NA,NA,7,6.8700532913208
619,42,93,20,12,10,10,28,0,0,0,1,8,NA,9,11,6.42810535430908
442,60,82,32,12,12,0,33,1,0,0,1,2,3,12,9,6.09131002426147
600,40,120,45,15,12,1,38,1,0,0,0,3,4,12,NA,6.39692974090576
1366,38,122,38,12,15,15,32,1,0,0,1,1,2,12,NA,7.219642162323
1643,48,117,48,18,8,2,33,1,0,0,1,2,2,12,18,7.40427923202515
1455,40,109,44,16,8,13,36,1,0,0,1,1,2,8,8,7.28276109695435
2310,40,114,55,18,12,7,38,1,0,0,1,2,NA,12,16,7.74500274658203
1682,45,126,40,16,10,11,31,1,0,0,1,1,1,12,16,7.42773866653442
1235,40,82,45,12,10,2,33,1,0,0,1,1,1,11,11,7.11882638931274
855,45,119,45,16,11,4,32,1,0,0,1,3,1,12,9,6.75110149383545
1072,42,104,37,16,6,8,35,1,0,0,1,2,2,12,6,6.97728157043457
1040,40,115,49,15,8,15,35,1,0,0,1,3,4,NA,11,6.94697618484497
1000,50,97,45,12,17,15,36,1,0,0,1,1,2,12,12,6.90775537490845
675,40,105,27,15,8,2,31,1,0,0,0,3,NA,14,12,6.51471281051636
1100,37,100,32,12,14,1,30,1,0,0,1,1,2,7,7,7.00306558609009
996,50,114,41,12,5,14,31,1,0,0,1,2,1,12,10,6.90374708175659
732,40,73,28,10,17,5,36,1,0,0,1,5,6,NA,NA,6.59578037261963
1200,40,96,48,11,15,3,37,1,0,0,1,4,3,8,8,7.09007692337036
1694,30,113,30,15,9,8,29,0,0,0,1,3,1,12,16,7.43484783172607
686,55,106,38,10,15,3,36,1,0,1,1,4,5,14,10,6.53087759017944
754,40,104,37,13,9,5,32,1,0,0,1,1,2,8,NA,6.6253924369812
857,35,80,39,10,14,15,33,1,0,0,1,2,1,NA,12,6.75343799591064
832,50,104,30,13,4,2,30,1,0,0,1,1,2,12,8,6.72383260726929
579,44,122,36,13,8,1,30,1,0,0,0,4,1,16,16,6.36130237579346
672,61,96,38,12,13,3,34,1,0,0,1,2,NA,12,13,6.51025819778442
2500,40,95,51,15,12,9,36,1,0,0,1,3,1,16,16,7.82404613494873
1076,45,105,24,12,5,8,31,0,0,0,1,1,1,16,17,6.98100566864014
750,40,94,18,12,16,3,37,1,1,0,1,7,3,8,8,6.62007331848145
